slug,name,desc,higher_level,page,range,target_range_sort,components,requires_verbal_components,requires_somatic_components,requires_material_components,material,can_be_cast_as_ritual,ritual,duration,concentration,requires_concentration,casting_time,level,level_int,spell_level,school,dnd_class,spell_lists,archetype,circles,document__slug,document__title,document__license_url,document__url
acid-splash-a5e,Acid Splash,"A stinking bubble of acid is conjured out of thin air to fly at the targets, dealing 1d6 acid damage.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",,60 feet,60,"V, S",True,True,False,,False,no,Instantaneous,no,False,1 action,Cantrip,0,0,Conjuration,"Artificer, Sorcerer, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
adjust-position,Adjust Position,"You adjust the location of an ally to a better tactical position. You move one willing creature within range 5 feet. This movement does not provoke opportunity attacks. The creature moves bodily through the intervening space (as opposed to teleporting), so there can be no physical obstacle (such as a wall or a door) in the path.","When you cast this spell using a spell slot of 2nd level or higher, you can target an additional willing creature for each slot level above 1st.",,30 Feet,30,V,True,False,False,,False,no,Instantaneous,no,False,1 action,1st-level,1,1,transmutation,"Bard, Cleric, Warlock, Wizard","['cleric', 'bard', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
afflict-line,Afflict Line,"You invoke the darkest curses upon your victim and his or her descendants. This spell does not require that you have a clear path to your target, only that your target is within range. The target must make a successful Wisdom saving throw or be cursed until the magic is dispelled. While cursed, the victim has disadvantage on ability checks and saving throws made with the ability score that you used when you cast the spell. In addition, the target’s firstborn offspring is also targeted by the curse. That individual is allowed a saving throw of its own if it is currently alive, or it makes one upon its birth if it is not yet born when the spell is cast. If the target’s firstborn has already died, the curse passes to the target’s next oldest offspring.

**Ritual Focus.** If you expend your ritual focus, the curse becomes hereditary, passing from firstborn to firstborn for the entire length of the family’s lineage until one of them successfully saves against the curse and throws off your dark magic.",,,1 mile,5280,"V, S, M",True,True,True,"a statuette carved in the likeness of the victim worth 1,250 gp",True,yes,Permanent; one generation,no,False,1 hour,9th-level,9,9,necromancy,"Cleric, Warlock, Wizard","['cleric', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
agonizing-mark,Agonizing Mark,"You choose a creature you can see within range to mark as your prey, and a ray of black energy issues forth from you. Until the spell ends, each time you deal damage to the target it must make a Charisma saving throw. On a failed save, it falls prone as its body is filled with torturous agony.",,,90 feet,90,S,False,True,False,,False,no,Up to 1 minute,yes,True,1 action,1st-level,1,1,evocation,"Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","['cleric', 'druid', 'ranger', 'bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
aid,Aid,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.,"When you cast this spell using a spell slot of 3rd level or higher, a target's hit points increase by an additional 5 for each slot level above 2nd.",phb 211,30 feet,30,"V, S, M",True,True,True,A tiny strip of white cloth.,False,no,8 hours,no,False,1 action,2nd-level,2,2,Abjuration,"Cleric, Paladin",['cleric'],,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
aid-a5e,Aid,"You draw upon divine power, imbuing the targets with fortitude. Until the spell ends, each target increases its hit point maximum and current hit points by 5.",The granted hit points increase by an additional 5 for each slot level above 2nd.,,60 feet,60,"V, S, M",True,True,True,,False,no,8 hours,no,False,1 action,2nd-level,2,2,Abjuration,"Cleric, Herald",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
air-wave-a5e,Air Wave,"Your deft weapon swing sends a wave of cutting air to assault a creature within range. Make a melee weapon attack against the target. If you are wielding one weapon in each hand, your attack deals an additional 1d6 damage. Regardless of the weapon you are wielding, your attack deals slashing damage.",The spell's range increases by 30 feet for each slot level above 1st.,,30 feet,30,V,True,False,False,,False,no,Instantaneous,no,False,1 action,1st-level,1,1,Conjuration,"Artificer, Bard, Warlock",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
alarm,Alarm,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. 

When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible. A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping. An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.",,phb 211,30 feet,30,"V, S, M",True,True,True,A tiny bell and a piece of fine silver wire.,True,yes,8 hours,no,False,1 minute,1st-level,1,1,Abjuration,"Ranger, Ritual Caster, Wizard","['ranger', 'wizard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
alarm-a5e,Alarm,"You set an alarm against unwanted intrusion that alerts you whenever a creature of size Tiny or larger touches or enters the warded area. When you cast the spell, choose any number of creatures. These creatures don't set off the alarm.

Choose whether the alarm is silent or audible. The silent alarm is heard in your mind if you are within 1 mile of the warded area and it awakens you if you are sleeping. An audible alarm produces a loud noise of your choosing for 10 seconds within 60 feet.","You may create an additional alarm for each slot level above 1st. The spell's range increases to 600 feet, but you must be familiar with the locations you ward, and all alarms must be set within the same physical structure. Setting off one alarm does not activate the other alarms.

You may choose one of the following effects in place of creating an additional alarm. The effects apply to all alarms created during the spell's casting.

Increased Duration. The spell's duration increases to 24 hours.

Improved Audible Alarm. The audible alarm produces any sound you choose and can be heard up to 300 feet away.

Improved Mental Alarm. The mental alarm alerts you regardless of your location, even if you and the alarm are on different planes of existence.",,60 feet,60,"V, S, M",True,True,True,,True,yes,8 hours,no,False,1 minute,1st-level,1,1,Abjuration,"Artificer, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
alchemical-form,Alchemical Form,"You transform into an amoebic form composed of highly acidic and poisonous alchemical jelly. While in this form:
* you are immune to acid and poison damage and to the poisoned and stunned conditions;
* you have resistance to nonmagical fire, piercing, and slashing damage;
* you can’t speak, cast spells, use items or weapons, or manipulate objects;
* your gear melds into your body and reappears when the spell ends;
* you don't need to breathe;
* your speed is 20 feet;
* your size doesn’t change, but you can move through and between obstructions as if you were two size categories smaller; and
* you gain the following action: **Melee Weapon Attack:** spellcasting ability modifier + proficiency bonus to hit, range 5 ft., one target; **Hit:** 4d6 acid or poison damage (your choice), and the target must make a successful Constitution saving throw or be poisoned until the start of your next turn.",,,Self,0,"V, S, M",True,True,True,"a vial of acid, poison, or alchemist's fire",False,no,1 minute,no,False,1 action,6th-level,6,6,transmutation,,[],,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ale-dritch-blast,Ale-dritch Blast,"A stream of ice-cold ale blasts from your outstretched hands toward a creature or object within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage and it must make a successful Constitution saving throw or be poisoned until the end of its next turn. A targeted creature has disadvantage on the saving throw if it has drunk any alcohol within the last hour.","The damage increases when you reach higher levels: 2d8 at 5th level, 3d8 at 11th level, and 4d8 at 17th level.",,60 feet,60,"V, S",True,True,False,,False,no,Instantaneous,no,False,1 action,Cantrip,0,0,Conjuration,"Bard, Druid, Wizard","['druid', 'bard', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ally-aegis,Ally Aegis,"When you see an ally within range in imminent danger, you can use your reaction to protect that creature with a shield of magical force. Until the start of your next turn, your ally has a +5 bonus to AC and is immune to force damage. In addition, if your ally must make a saving throw against an enemy’s spell that deals damage, the ally takes half as much damage on a failed saving throw and no damage on a successful save. Ally aegis offers no protection, however, against psychic damage from any source.
","When you cast this spell using a spell slot of 7th level or higher, you can target one additional ally for each slot level above 6th.",,60 feet,60,"V, S",True,True,False,,False,no,1 round,no,False,"1 reaction, which you take when your ally is hit by an attack or is targeted by a spell that deals damage other than psychic damage",6th-level,6,6,abjuration,"Bard, Cleric, Sorcerer, Wizard","['cleric', 'bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
alone,Alone,"You cause a creature within range to believe its allies have been banished to a different realm. The target must succeed on a Wisdom saving throw, or it treats its allies as if they were invisible and silenced. The affected creature cannot target, perceive, or otherwise interact with its allies for the duration of the spell. If one of its allies hits it with a melee attack, the affected creature can make another Wisdom saving throw. On a successful save, the spell ends.",,,30 feet,30,"V, S",True,True,False,,False,no,Up to 1 minute,yes,True,1 action,3rd-level,3,3,enchantment,"Cleric, Sorcerer, Warlock, Wizard","['cleric', 'sorcerer', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
alter-arrows-fortune,Alter Arrow’s Fortune,"You clap your hands, setting off a chain of tiny events that culminate in throwing off an enemy’s aim. When an enemy makes a ranged attack with a weapon or a spell that hits one of your allies, this spell causes the enemy to reroll the attack roll unless the enemy makes a successful Charisma saving throw. The attack is resolved using the lower of the two rolls (effectively giving the enemy disadvantage on the attack).",,,100 feet,100,S,False,True,False,,False,no,Instantaneous,no,False,"1 reaction, which you take when an enemy makes a ranged attack that hits",1st-level,1,1,divination,"Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","['cleric', 'druid', 'ranger', 'bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
alter-self,Alter Self,"You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one.

**Aquatic Adaptation.** You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed.

**Change Appearance.** You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any. You can make yourself appear as a member of another race, though none of your statistics change. You also can't appear as a creature of a different size than you, and your basic shape stays the same; if you're bipedal, you can't use this spell to become quadrupedal, for instance. At any time for the duration of the spell, you can use your action to change your appearance in this way again.

**Natural Weapons.** You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing damage, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is magic and you have a +1 bonus to the attack and damage rolls you make using it.",,phb 211,Self,0,"V, S",True,True,False,,False,no,Up to 1 hour,yes,True,1 action,2nd-level,2,2,Transmutation,"Sorcerer, Wizard","['sorcerer', 'wizard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
alter-self-a5e,Alter Self,"You use magic to mold yourself into a new form. Choose one of the options below. Until the spell ends, you can use an action to choose a different option.

* **Amphibian:** Your body takes on aquatic adaptations. You can breathe underwater normally and gain a swimming speed equal to your base Speed.
* **Altered State:** You decide what you look like.  
    
None of your gameplay statistics change but you can alter anything about your body's appearance, including but not limited to: your heritage, 1 foot of height, weight, clothing, tattoos, piercings, facial features, sound of your voice, hair style and length, skin and eye coloration, sex, and any other distinguishing features. You cannot become a creature of a different size category, and your limb structure remains the same; for example if you're bipedal, you can't use this spell to become a quadruped. Until the spell ends, you can use an action to change your appearance.
* **Red in Tooth and Claw:** You grow magical natural weapons of your choice with a +1 bonus to attack and damage. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing damage of a type determined by the natural weapon you chose; for example a tentacle deals bludgeoning, a horn deals piercing, and claws deal slashing.","When using a spell slot of 5th-level, add the following to the list of forms you can adopt.

* **Greater Natural Weapons:** The damage dealt by your natural weapon increases to 2d6, and you gain a +2 bonus to attack and damage rolls with your natural weapons.
* **Mask of the Grave:** You adopt the appearance of a skeleton or zombie (your choice). Your type changes to undead, and mindless undead creatures ignore your presence, treating you as one of their own. You don't need to breathe and you become immune to poison.
* **Wings:** A pair of wings sprouts from your back. The wings can appear bird-like, leathery like a bat or dragon's wings, or like the wings of an insect. You gain a fly speed equal to your base Speed.",,self,0,"V, S",True,True,False,,False,no,Up to 1 hour,yes,True,1 action,2nd-level,2,2,Transmutation,"Sorcerer, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
altered-strike-a5e,Altered Strike,"You briefly transform your weapon or fist into another material and strike with it, making a melee weapon attack against a target within your reach.

You use your spellcasting ability for your attack and damage rolls, and your melee weapon attack counts as if it were made with a different material for the purpose of overcoming resistance and immunity to nonmagical attacks and damage: either bone, bronze, cold iron, steel, stone, or wood.","When you reach 5th level, you can choose silver or mithral as the material. When you reach 11th level, if you have the Extra Attack feature you make two melee weapon attacks as part of the casting of this spell instead of one. In addition, you can choose adamantine as the material.

When you reach 17th level, your attacks with this spell deal an extra 1d6 damage.",,self,0,"V, S, M",True,True,True,,False,no,1 round,no,False,1 action,Cantrip,0,0,Transmutation,"Artificer, Bard, Herald, Sorcerer, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
altheas-travel-tent,Althea’s Travel Tent,"You touch an ordinary, properly pitched canvas tent to create a space where you and a companion can sleep in comfort. From the outside, the tent appears normal, but inside it has a small foyer and a larger bedchamber. The foyer contains a writing desk with a chair; the bedchamber holds a soft bed large enough to sleep two, a small nightstand with a candle, and a small clothes rack. The floor of both rooms is a clean, dry, hard-packed version of the local ground. When the spell ends, the tent and the ground return to normal, and any creatures inside the tent are expelled to the nearest unoccupied spaces.
","When the spell is cast using a 3rd-level slot, the foyer becomes a dining area with seats for six and enough floor space for six people to sleep, if they bring their own bedding. The sleeping room is unchanged. With a 4th-level slot, the temperature inside the tent is comfortable regardless of the outside temperature, and the dining area includes a small kitchen. With a 5th-level slot, an unseen servant is conjured to prepare and serve food (from your supplies). With a 6th-level slot, a third room is added that has three two-person beds. With a slot of 7th level or higher, the dining area and second sleeping area can each accommodate eight persons.",,Touch,1,"V, S, M",True,True,True,a canvas tent,True,yes,8 hours,no,False,5 minutes,2nd-level,2,2,conjuration,"Sorcerer, Wizard","['sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ambush,Ambush,"The forest floor swirls and shifts around you to welcome you into its embrace. While in a forest, you have advantage on Dexterity (Stealth) checks to Hide. While hidden in a forest, you have advantage on your next Initiative check. The spell ends if you attack or cast a spell.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The spell ends if you or any target of this spell attacks or casts a spell.",,Self,0,"S, M",False,True,True,,False,no,Up to 1 hour,yes,True,1 action,1st-level,1,1,illusion,"Druid, Ranger, Sorceror, Wizard","['druid', 'ranger', 'wizard']",,,kp,Kobold Press Compilation,http://open5e.com/legal,https://koboldpress.com
ambush-chute,Ambush Chute,"You touch a wooden, plaster, or stone surface and create a passage with two trapdoors. The first trapdoor appears where you touch the surface, and the other appears at a point you can see up to 30 feet away. The two trapdoors can be wooden with a metal ring handle, or they can match the surrounding surfaces, each with a small notch for opening the door. The two trapdoors are connected by an extradimensional passage that is up to 5 feet wide, up to 5 feet tall, and up to 30 feet long. The trapdoors don't need to be on the same surface, allowing the passage to connect two separated locations, such as the two sides of a chasm or river. The passage is always straight and level for creatures inside it, and the creatures exit the tunnel in such a way that allows them to maintain the same orientation as when they entered the passage. No more than five creatures can transit the passage at the same time.
  When the spell ends and the trapdoors disappear, any creatures or objects still in the passage created by the spell are safely ejected to an unoccupied space nearest the end of the passage closest to them.","When you cast this spell using a spell slot of 4th level or higher, the length of the passage and the distance you can place the second trapdoor increases by 10 feet for each slot level above 3rd.",,Touch,1,"V, S",True,True,False,,False,no,Up to 10 minutes,yes,True,1 action,3rd-level,3,3,conjuration,"Sorceror, Warlock, Wizard",[],,,toh,Tome of Heroes,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/
amplify-gravity,Amplify Gravity,"This spell intensifies gravity in a 50-foot-radius area within range. Inside the area, damage from falling is quadrupled (2d6 per 5 feet fallen) and maximum damage from falling is 40d6. Any creature on the ground in the area when the spell is cast must make a successful Strength saving throw or be knocked prone; the same applies to a creature that enters the area or ends its turn in the area. A prone creature in the area must make a successful Strength saving throw to stand up. A creature on the ground in the area moves at half speed and has disadvantage on Dexterity checks and ranged attack rolls.",,,100 feet,100,"V, S, M",True,True,True,a piece of lead,False,no,Up to 1 minute,yes,True,1 action,7th-level,7,7,transmutation,"Sorcerer, Warlock, Wizard","['sorcerer', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
amplify-ley-field,Amplify Ley Field,"You create a faintly shimmering field of charged energy around yourself. Within that area, the intensity of ley lines you're able to draw on increases from weak to strong, or from strong to titanic. If no ley lines are near enough for you to draw on, you can treat the area of the spell itself as an unlocked, weak ley line.",,,Self,0,"V, S",True,True,False,,False,no,10 Minutes,no,False,1 action,5th-level,5,5,evocation,"Sorceror, Warlock, Wizard, Druid","['druid', 'warlock', 'wizard']",,,dmag-e,Deep Magic Extended,http://open5e.com/legal,https://koboldpress.com
analyze-device,Analyze Device,"You discover all mechanical properties, mechanisms, and functions of a single construct or clockwork device, including how to activate or deactivate those functions, if appropriate.",,,Touch,1,"V, S, M",True,True,True,a set of clockworker’s tools,False,no,Instantaneous,no,False,1 hour,1st-level,1,1,divination,"Bard, Sorcerer, Wizard","['bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ancestors-strength,Ancestor’s Strength,"Choose a willing creature you can see and touch. Its muscles bulge and become invigorated. For the duration, the target is considered one size category larger for determining its carrying capacity, the maximum weight it can lift, push, or pull, and its ability to break objects. It also has advantage on Strength checks.",,,Touch,1,"V, S",True,True,False,,False,no,Up to 8 hours,yes,True,1 action,1st-level,1,1,transmutation,"Cleric, Druid, Paladin","['cleric', 'druid']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
anchoring-rope,Anchoring Rope,"You create a spectral lanyard. One end is tied around your waist, and the other end is magically anchored in the air at a point you select within range. You can choose to make the rope from 5 to 30 feet long, and it can support up to 800 pounds. The point where the end of the rope is anchored in midair can’t be moved after the spell is cast. If this spell is cast as a reaction while you are falling, you stop at a point of your choosing in midair and take no falling damage. You can dismiss the rope as a bonus action.
","When you cast this spell using a spell slot of 3rd level or higher, you can create one additional rope for every two slot levels above 1st. Each rope must be attached to a different creature.",,30 feet,30,"V, S",True,True,False,,False,no,5 minutes,no,False,"1 action, or 1 reaction that you take while falling",1st-level,1,1,evocation,"Bard, Druid, Ranger","['druid', 'ranger', 'bard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
